                Word | Line Number
--------------------------------------------------
                 end | 57, 63
          chrysostom | 57, 63
                john | 57, 63
            invictus | 53, 58
            birthday | 53, 53, 58
               agree | 52, 55
                 not | 52, 57, 61
                 did | 52, 57
                 set | 52, 56
            earliest | 52, 53
            medieval | 49, 51
                 all | 44, 46
                 him | 44, 44
             matthew | 42, 45
                luke | 42, 43
            epiphany | 37, 60
                also | 10, 22, 26, 36, 53, 53
                east | 60, 62
                 for | 13, 13, 18, 37, 43, 44
            nazareth | 43, 46
          liturgical | 2, 55
                   a | 1, 1, 2, 3, 3, 6, 15, 16, 16, 18, 18, 19, 23, 25, 43, 43, 44, 45, 52
            calendar | 11, 12, 12, 16, 53
           gregorian | 11, 12
           celebrate | 11, 12
               roman | 9, 10, 58, 58
              winter | 9, 58
              church | 9, 16, 52, 57
               early | 9, 49, 57, 57
                 are | 8, 17
                used | 11, 26
                been | 11, 58
                most | 11, 58
             christs | 23, 61
                this | 6, 29, 55, 56, 58, 61
             century | 9, 36, 51, 52, 57, 63, 63, 64
               birth | 1, 8, 13, 34, 36, 52, 60, 61
              slavic | 37, 37
                 had | 6, 19, 32, 58
              empire | 9, 58
               world | 1, 11, 13, 19
                were | 6, 52
            although | 28, 52
               feast | 2, 33, 63
                with | 5, 6, 15, 17, 35, 56, 60
                word | 6, 23, 24, 29
              advent | 2, 16, 16
               first | 2, 36
        christianity | 2, 62
                  or | 16, 33, 36, 36, 37
                king | 45, 46
                  an | 1, 3, 16, 16, 28, 52
              people | 1, 44
                  is | 1, 2, 3, 3, 10, 13, 23, 24, 25, 25, 26, 28, 29, 34, 36, 37, 43, 53, 56
           primarily | 1, 61
                that | 5, 13, 52, 52, 55, 56, 62, 64
             january | 12, 35, 60
             holiday | 3, 3, 16, 18, 32, 61
                born | 5, 6, 42, 43, 45
         celebrating | 13, 52
              during | 17, 26
         celebration | 1, 25
               where | 6, 29, 58
                  it | 2, 10, 53
               latin | 25, 33, 34, 36
                  of | 1, 1, 2, 3, 3, 5, 8, 9, 10, 12, 12, 13, 13, 15, 16, 17, 18, 19, 23, 25, 25, 
                       28, 29, 40, 41, 42, 43, 45, 45, 46, 51, 51, 51, 52, 52, 53, 53, 53, 55, 56, 
                       57, 57, 57, 57, 58, 58, 60, 62, 62, 62, 62, 63
                  to | 2, 6, 12, 13, 17, 33, 35, 35, 37, 37, 37, 42, 43, 43, 44, 45, 45, 45, 46, 
                       46, 53, 56, 57
                 the | 1, 1, 2, 2, 3, 5, 5, 5, 6, 6, 6, 6, 8, 9, 9, 9, 9, 9, 9, 10, 10, 11, 11, 11, 
                       12, 12, 12, 13, 13, 13, 15, 17, 18, 18, 19, 19, 23, 24, 25, 25, 25, 25, 25, 
                       26, 27, 28, 28, 29, 32, 33, 33, 33, 34, 35, 36, 36, 36, 36, 37, 37, 41, 42, 
                       42, 43, 45, 45, 45, 46, 46, 46, 51, 52, 52, 52, 52, 52, 53, 53, 53, 53, 53, 
                       55, 56, 56, 57, 57, 57, 57, 57, 57, 58, 58, 58, 58, 60, 60, 60, 62, 62, 62, 
                       62, 62, 63, 63, 63, 63, 64, 64
            solstice | 9, 58
            followed | 2, 62
               which | 2, 11, 12, 35, 53
              joseph | 6, 43
               jesus | 1, 5, 5, 40, 42, 43, 45, 60
                 was | 5, 6, 26, 35, 55, 56, 58, 60, 61, 62, 63, 64
          throughout | 11, 32
              middle | 27, 29
                 day | 3, 36
            nativity | 5, 16, 16, 34, 39, 40, 51
                  in | 2, 3, 5, 5, 5, 6, 9, 9, 11, 11, 11, 12, 13, 15, 19, 24, 24, 28, 28, 29, 35, 
                       36, 36, 42, 43, 43, 43, 45, 46, 52, 55, 55, 58, 60, 60, 62, 62, 63, 63, 63, 
                       63, 63, 63, 64
            festival | 1, 18, 58
                  on | 1, 2, 2, 10, 11, 12, 28, 53, 57, 58, 60
              annual | 1, 3
                many | 3, 3, 18, 19
                 has | 11, 18, 19, 29, 32
                than | 13, 46
           generally | 37, 55
        abbreviation | 28, 29, 29
                  by | 2, 3, 3, 41, 45, 56, 57, 63, 64
                 and | 1, 2, 2, 3, 6, 6, 15, 15, 16, 16, 16, 17, 17, 17, 17, 18, 18, 18, 24, 25, 
                       26, 35, 36, 37, 42, 43, 43, 43, 44, 46, 49, 52, 57, 57, 58, 63
           shepherds | 6, 41, 44
                date | 8, 9, 9, 10, 13, 52, 56, 57, 58, 58
                from | 25, 25, 27, 33, 34, 36, 36, 37, 43, 51, 52, 56
           christmas | 1, 2, 3, 5, 12, 15, 16, 16, 16, 16, 16, 16, 17, 17, 18, 19, 23, 28, 35, 37, 
                       37, 57, 57, 62, 64
             various | 15, 16, 32
             history | 32, 48
                part | 3, 12, 55, 62
                mary | 6, 42, 43
              angels | 6, 44
                  as | 1, 3, 3, 5, 9, 17, 24, 33, 33, 36, 42, 53, 57, 62
               known | 5, 17
                more | 13, 33, 37
           countries | 3, 11, 15
              season | 3, 17
